segment_id,class,area_px,area_pct,confidence,conf_sulfide,cx,cy
1989,normal,479356,0.32375,0.6331,0.9707,5279,7809
1950,normal,310193,0.2095,0.5112,0.9741,4029,7442
836,normal,235047,0.15875,0.5967,0.966,13572,3392
2874,fine,200134,0.13517,0.6476,0.9629,9110,10553
1586,fine,153987,0.104,0.8761,0.9727,11261,5917
1148,fine,117909,0.07963,0.7416,0.9718,10719,4064
126,fine,112590,0.07604,0.6675,0.9758,5681,601
1996,normal,107352,0.0725,0.5568,0.9727,3367,7485
1465,fine,92965,0.06279,0.6524,0.9708,7433,5210
1505,normal,90766,0.0613,0.6145,0.9706,6150,5438
2830,normal,88977,0.06009,0.5968,0.9781,8007,10287
753,fine,81493,0.05504,0.5935,0.9672,995,2782
2155,fine,81432,0.055,0.6593,0.9666,6737,7972
2745,fine,80790,0.05456,0.7534,0.9715,2573,9689
323,normal,71016,0.04796,0.6467,0.9689,9350,1255
692,fine,64119,0.04331,0.6074,0.9715,7848,2417
120,normal,63185,0.04267,0.5115,0.9702,9673,574
1018,fine,60038,0.04055,0.8059,0.9647,9440,3574
1687,fine,59136,0.03994,0.5994,0.9657,11880,6347
2809,fine,54190,0.0366,0.7166,0.961,2909,10107
2153,fine,53877,0.03639,0.5647,0.97,9216,7973
1722,fine,53534,0.03616,0.518,0.9696,13648,6542
2177,normal,53378,0.03605,0.6002,0.9698,10459,8028
1066,fine,52061,0.03516,0.8222,0.97,7189,3736
251,fine,51167,0.03456,0.7707,0.9679,5096,935
2469,fine,51046,0.03448,0.8577,0.9621,12528,8916
1906,fine,50333,0.03399,0.5065,0.9685,9143,7010
2718,fine,49603,0.0335,0.5353,0.9758,5047,9614
2181,fine,46299,0.03127,0.636,0.9671,2643,8011
2074,fine,41320,0.02791,0.5349,0.974,2998,7666
2452,fine,40776,0.02754,0.8589,0.9594,6538,8891
773,fine,39300,0.02654,0.7008,0.9707,4031,2783
615,fine,37294,0.02519,0.618,0.9722,982,2013
2151,fine,36986,0.02498,0.7321,0.9789,781,7944
2215,fine,35539,0.024,0.684,0.9814,408,8137
1493,fine,34296,0.02316,0.588,0.9701,5459,5292
1310,fine,33885,0.02289,0.6317,0.9694,10422,4505
1270,fine,33157,0.02239,0.7401,0.9657,8179,4301
2826,fine,33111,0.02236,0.7376,0.9485,6648,10150
268,normal,32921,0.02223,0.5792,0.9641,11988,995
2056,fine,32355,0.02185,0.5466,0.9533,7015,7680
1663,fine,31989,0.02161,0.6885,0.9772,1027,6210
470,fine,30230,0.02042,0.8129,0.958,763,1584
2276,fine,30155,0.02037,0.7896,0.9668,4336,8421
82,fine,30086,0.02032,0.7851,0.9555,3102,291
1089,fine,29426,0.01987,0.8898,0.9608,6528,3720
1151,fine,28800,0.01945,0.5554,0.9658,777,3938
2701,fine,28227,0.01906,0.6509,0.9637,2881,9599
2752,fine,27318,0.01845,0.7848,0.9716,6053,9663
1087,fine,26845,0.01813,0.9114,0.9734,4108,3753
2633,fine,26580,0.01795,0.6225,0.9711,2898,9255
2865,normal,25920,0.01751,0.5334,0.9545,4278,10285
2363,fine,24673,0.01666,0.7981,0.9552,10184,8566
1933,normal,23907,0.01615,0.5604,0.9666,5718,7142
1007,fine,22885,0.01546,0.6469,0.9662,10522,3488
2731,fine,22676,0.01532,0.6326,0.9814,12470,9589
1843,fine,22541,0.01522,0.6457,0.9645,3039,6706
2539,fine,21411,0.01446,0.6632,0.9583,4726,9019
2296,fine,21170,0.0143,0.7704,0.9579,10311,8375
759,fine,20851,0.01408,0.7396,0.9687,5395,2649
254,fine,20176,0.01363,0.6073,0.9688,10163,846
738,fine,19853,0.01341,0.5202,0.9701,8383,2535
1,fine,19681,0.01329,0.6108,0.9645,1016,64
1220,fine,19396,0.0131,0.8335,0.9588,13645,4115
2444,fine,19304,0.01304,0.5969,0.9564,4239,8783
527,fine,19230,0.01299,0.6298,0.9624,6283,1668
2168,normal,18637,0.01259,0.6583,0.9636,10319,7888
366,fine,18388,0.01242,0.8172,0.9578,5207,1234
1076,fine,18369,0.01241,0.7691,0.964,770,3671
890,fine,17927,0.01211,0.6773,0.9641,1914,3095
2199,fine,17818,0.01203,0.7365,0.9636,4613,7993
2379,fine,17802,0.01202,0.7593,0.9615,267,8658
2205,fine,17597,0.01188,0.7162,0.9671,4029,8023
671,fine,17390,0.01175,0.7062,0.971,6816,2231
2009,fine,17138,0.01157,0.8847,0.9577,10058,7417
2559,fine,17118,0.01156,0.936,0.965,11906,9061
1942,fine,16980,0.01147,0.6167,0.9529,5133,7105
2447,fine,16596,0.01121,0.7614,0.9591,12883,8792
1159,fine,16466,0.01112,0.6336,0.9604,400,3895
674,fine,16405,0.01108,0.7507,0.9437,6571,2256
2442,fine,16219,0.01095,0.8676,0.9616,6996,8757
2377,fine,16129,0.01089,0.6748,0.9505,3972,8613
800,fine,15751,0.01064,0.9671,0.9717,2781,2807
2223,fine,15555,0.01051,0.9011,0.9687,5914,8128
1878,fine,14854,0.01003,0.7658,0.9695,11709,6775
1510,fine,14777,0.00998,0.6879,0.9654,8752,5345
1423,normal,14540,0.00982,0.5196,0.9423,256,4947
2212,fine,14533,0.00982,0.8581,0.9753,1001,8076
2802,fine,14115,0.00953,0.71,0.9544,7300,9949
2929,fine,13910,0.00939,0.8244,0.9249,10765,10645
980,fine,13737,0.00928,0.7912,0.9662,3697,3335
2505,fine,13640,0.00921,0.6389,0.9616,2499,8932
1835,fine,13539,0.00914,0.6394,0.9626,9501,6653
1736,fine,13537,0.00914,0.7499,0.9547,1058,6406
1432,fine,13443,0.00908,0.6168,0.9682,5128,4986
1462,fine,13381,0.00904,0.6041,0.9615,4547,5129
2241,fine,13344,0.00901,0.6288,0.9612,9620,8196
947,fine,12871,0.00869,0.7846,0.9718,3545,3234
2786,fine,12817,0.00866,0.5211,0.9385,4493,9816
2018,fine,12775,0.00863,0.9117,0.9695,4587,7427
635,fine,12734,0.0086,0.7457,0.9588,10874,2062
2279,fine,12674,0.00856,0.8114,0.9279,4105,8343
1333,fine,12641,0.00854,0.5586,0.9459,9948,4508
679,fine,12510,0.00845,0.6357,0.948,2921,2315
2697,fine,12238,0.00827,0.6508,0.9438,3009,9484
227,fine,12093,0.00817,0.6582,0.961,11092,744
2200,fine,11841,0.008,0.7185,0.9673,9029,7957
2829,fine,11805,0.00797,0.7534,0.9551,6346,10096
1285,fine,11799,0.00797,0.7504,0.9579,10899,4333
469,fine,11688,0.00789,0.8227,0.9645,5224,1463
1073,fine,11645,0.00786,0.865,0.9562,1726,3673
1058,fine,11619,0.00785,0.8897,0.9584,2149,3615
514,fine,11464,0.00774,0.6966,0.9672,4933,1590
2783,fine,11342,0.00766,0.7226,0.9776,9498,9799
1926,fine,10984,0.00742,0.9105,0.9502,9676,7015
848,fine,10973,0.00741,0.9462,0.9549,5305,2977
578,fine,10856,0.00733,0.6998,0.952,495,1825
212,fine,10840,0.00732,0.7397,0.9558,5169,687
1176,fine,10766,0.00727,0.8209,0.9536,3031,3955
238,fine,10749,0.00726,0.8314,0.9566,7408,759
708,fine,10740,0.00725,0.8209,0.9624,6352,2424
2082,fine,10714,0.00724,0.6545,0.9568,2752,7646
1485,fine,10649,0.00719,0.5948,0.9645,5342,5184
1427,fine,10405,0.00703,0.662,0.9575,8447,4953
1725,fine,10124,0.00684,0.7872,0.9582,10568,6380
1026,fine,10105,0.00682,0.9116,0.9526,5332,3520
705,fine,9997,0.00675,0.6766,0.9516,8057,2354
1521,fine,9966,0.00673,0.9471,0.9733,3769,5449
95,fine,9795,0.00662,0.8189,0.9421,5278,277
17,fine,9616,0.00649,0.8026,0.9681,5158,67
2163,fine,9453,0.00638,0.693,0.9578,2438,7838
2824,fine,9301,0.00628,0.7813,0.9596,9839,10043
2288,fine,9195,0.00621,0.8274,0.9725,36,8366
967,fine,9166,0.00619,0.9243,0.9508,2988,3319
1330,fine,9026,0.0061,0.7158,0.9451,10836,4498
2605,fine,8801,0.00594,0.8526,0.9554,9801,9183
2071,fine,8783,0.00593,0.8395,0.9555,4813,7593
2324,fine,8699,0.00588,0.9341,0.9695,6080,8474
295,fine,8686,0.00587,0.5243,0.9589,9357,948
1816,fine,8612,0.00582,0.8017,0.9491,7085,6619
36,fine,8387,0.00566,0.6018,0.9536,11814,112
2902,fine,8360,0.00565,0.846,0.9456,5939,10450
2629,fine,8212,0.00555,0.5717,0.9604,4397,9217
1365,fine,8183,0.00553,0.6975,0.9522,5238,4664
2705,fine,8124,0.00549,0.715,0.9696,12356,9462
965,fine,8109,0.00548,0.9235,0.9649,5169,3270
2003,fine,8090,0.00546,0.7607,0.9525,8809,7350
1279,fine,8015,0.00541,0.7081,0.9599,1746,4275
2387,fine,7996,0.0054,0.7702,0.9534,554,8630
1404,fine,7937,0.00536,0.8394,0.9456,11311,4861
744,fine,7887,0.00533,0.9509,0.9361,6103,2566
2197,fine,7849,0.0053,0.8197,0.9683,2220,7931
2715,fine,7772,0.00525,0.6671,0.9547,12244,9502
2487,fine,7725,0.00522,0.7858,0.9556,2280,8853
78,fine,7714,0.00521,0.7496,0.963,5834,227
2950,fine,7584,0.00512,0.7775,0.9411,10926,10747
1138,fine,7550,0.0051,0.7127,0.9549,593,3828
1490,fine,7521,0.00508,0.866,0.9616,1252,5246
86,fine,7485,0.00506,0.7336,0.9659,2577,259
1114,fine,7434,0.00502,0.849,0.976,3505,3769
2660,fine,7334,0.00495,0.9024,0.9647,12314,9297
1907,fine,7330,0.00495,0.8562,0.9607,3660,6872
236,fine,7316,0.00494,0.7223,0.9656,8743,750
1165,fine,7213,0.00487,0.8456,0.9555,1955,3887
1862,fine,7118,0.00481,0.7825,0.9781,615,6703
2645,fine,7105,0.0048,0.7554,0.9416,661,9259
2237,fine,7028,0.00475,0.9198,0.9663,805,8166
1636,fine,6866,0.00464,0.6948,0.9501,10760,6005
2631,fine,6855,0.00463,0.8165,0.9504,10059,9211
2130,fine,6828,0.00461,0.5341,0.9568,3733,7769
1894,fine,6819,0.00461,0.7252,0.9644,46,6824
1239,fine,6792,0.00459,0.5516,0.9464,9580,4160
2361,fine,6721,0.00454,0.8802,0.9551,8128,8528
736,fine,6632,0.00448,0.5015,0.932,8572,2520
820,fine,6531,0.00441,0.8166,0.966,8017,2852
2858,normal,6519,0.0044,0.5388,0.9342,644,10212
1476,fine,6489,0.00438,0.7274,0.9507,4251,5159
1701,fine,6422,0.00434,0.9267,0.9606,11242,6329
167,fine,6420,0.00434,0.7336,0.9584,4795,512
180,fine,6409,0.00433,0.8063,0.9551,8786,546
2843,fine,6396,0.00432,0.572,0.9289,3220,10132
2440,fine,6383,0.00431,0.8247,0.9382,10214,8739
1337,fine,6377,0.00431,0.5173,0.9353,613,4502
2703,fine,6278,0.00424,0.6204,0.9388,3926,9458
91,fine,6228,0.00421,0.7256,0.9531,5469,240
935,fine,6182,0.00418,0.7739,0.9554,12353,3176
1157,fine,6154,0.00416,0.85,0.9518,5210,3881
1013,fine,6129,0.00414,0.9099,0.9652,4059,3452
959,fine,6062,0.00409,0.9183,0.9677,485,3262
1726,fine,6045,0.00408,0.5497,0.9376,4318,6371
395,fine,6034,0.00408,0.9566,0.9611,7528,1272
51,fine,6033,0.00407,0.7305,0.9627,12422,168
2247,fine,5991,0.00405,0.8277,0.9579,2313,8200
1804,fine,5883,0.00397,0.8058,0.9684,7826,6547
1925,fine,5812,0.00393,0.8136,0.9555,3763,6993
952,fine,5763,0.00389,0.7584,0.9601,2414,3231
2888,fine,5750,0.00388,0.559,0.95,2748,10380
1961,fine,5746,0.00388,0.6663,0.9537,6873,7126
2708,fine,5705,0.00385,0.8709,0.907,11046,9494
1053,fine,5698,0.00385,0.8458,0.9629,3128,3579
1861,fine,5667,0.00383,0.7703,0.9494,275,6697
16,fine,5616,0.00379,0.7638,0.9591,12342,23
1059,fine,5598,0.00378,0.6024,0.9549,10130,3583
2184,fine,5594,0.00378,0.564,0.9511,7934,7881
1903,fine,5551,0.00375,0.8469,0.9754,6682,6854
1190,fine,5502,0.00372,0.8026,0.9464,1641,3988
641,fine,5496,0.00371,0.771,0.9548,542,2082
1273,fine,5493,0.00371,0.8228,0.9527,12911,4263
1519,fine,5444,0.00368,0.8497,0.9668,3375,5369
1867,fine,5389,0.00364,0.819,0.9573,3395,6714
2431,fine,5323,0.0036,0.7396,0.9418,3086,8704
300,fine,5310,0.00359,0.8239,0.9637,4842,967
985,fine,5304,0.00358,0.8872,0.9637,4032,3349
2674,fine,5230,0.00353,0.6653,0.9329,173,9340
40,fine,5230,0.00353,0.844,0.9619,4603,136
2152,fine,5220,0.00353,0.6412,0.9512,7911,7778
2827,fine,5220,0.00353,0.8638,0.952,2504,10048
2224,fine,5177,0.0035,0.714,0.9616,3540,8107
1931,fine,5150,0.00348,0.7087,0.9587,6140,7012
1249,fine,5130,0.00346,0.5546,0.9498,9717,4166
2628,fine,5118,0.00346,0.8111,0.9374,9722,9255
2162,fine,5100,0.00344,0.6092,0.9587,2749,7813
2803,fine,5080,0.00343,0.5393,0.9277,3163,9889
1257,fine,5077,0.00343,0.8517,0.9613,5356,4214
2545,fine,5050,0.00341,0.8911,0.9433,5982,8989
510,fine,5047,0.00341,0.5929,0.948,5744,1584
177,fine,5038,0.0034,0.7657,0.9614,9135,526
715,fine,5033,0.0034,0.5473,0.9407,8513,2392
2035,fine,5022,0.00339,0.6721,0.9259,2592,7442
2424,fine,5018,0.00339,0.7,0.9493,4363,8684
1918,fine,4967,0.00335,0.7117,0.952,128,6939
526,fine,4943,0.00334,0.7073,0.9563,9800,1641
44,fine,4941,0.00334,0.796,0.9532,6950,131
786,fine,4927,0.00333,0.7658,0.948,11221,2746
1653,fine,4906,0.00331,0.9672,0.9176,6993,6098
2508,fine,4858,0.00328,0.8414,0.9585,1614,8865
1037,fine,4846,0.00327,0.8184,0.9464,2384,3550
1079,fine,4819,0.00325,0.9292,0.9432,5249,3645
2726,fine,4787,0.00323,0.8372,0.9641,11165,9511
655,fine,4786,0.00323,0.5007,0.934,8528,2126
223,fine,4785,0.00323,0.7745,0.9552,4840,698
1982,fine,4780,0.00323,0.9681,0.9381,9908,7239
1340,fine,4719,0.00319,0.7097,0.9461,13684,4509
1997,fine,4702,0.00318,0.9677,0.9514,9981,7284
2640,fine,4642,0.00314,0.9193,0.9482,12020,9232
549,fine,4614,0.00312,0.7492,0.9254,3344,1718
1517,fine,4611,0.00311,0.8996,0.9656,3980,5374
2307,fine,4565,0.00308,0.9102,0.9599,2031,8355
2131,fine,4546,0.00307,0.61,0.9311,8738,7744
1480,fine,4544,0.00307,0.6609,0.9418,6926,5127
1540,fine,4538,0.00306,0.8919,0.9559,4022,5549
471,fine,4520,0.00305,0.8366,0.9513,4003,1473
1010,fine,4507,0.00304,0.6034,0.9497,8312,3423
1559,fine,4503,0.00304,0.8393,0.9693,4069,5594
559,fine,4465,0.00302,0.709,0.9419,1931,1743
2104,fine,4458,0.00301,0.8167,0.9579,13180,7652
2647,fine,4452,0.00301,0.7391,0.9219,185,9252
2050,fine,4429,0.00299,0.542,0.9634,4213,7514
972,fine,4410,0.00298,0.9145,0.9758,6946,3302
2382,fine,4410,0.00298,0.8396,0.9452,8321,8601
2538,fine,4382,0.00296,0.9756,0.9577,12009,8949
1315,fine,4355,0.00294,0.8228,0.9504,13336,4429
1491,fine,4347,0.00294,0.8331,0.9379,11182,5217
2019,fine,4344,0.00293,0.798,0.9526,12860,7384
2512,fine,4335,0.00293,0.8334,0.953,13003,8863
2169,fine,4258,0.00288,0.6433,0.9547,3560,7838
2267,fine,4233,0.00286,0.8577,0.9638,709,8284
1210,fine,4186,0.00283,0.8993,0.9624,6810,4039
1819,fine,4156,0.00281,0.6586,0.9403,9405,6593
1968,fine,4151,0.0028,0.7634,0.9638,4571,7151
2230,fine,4133,0.00279,0.7041,0.953,8998,8133
2758,fine,4124,0.00279,0.8835,0.9511,10939,9617
2913,fine,4118,0.00278,0.857,0.9355,11930,10550
716,fine,4096,0.00277,0.9577,0.953,6080,2392
279,fine,4093,0.00276,0.8403,0.9587,4736,876
2771,fine,4064,0.00274,0.8534,0.9532,10796,9704
116,fine,4050,0.00274,0.849,0.9588,5916,324
824,fine,4035,0.00273,0.6426,0.9584,10436,2878
850,fine,4021,0.00272,0.8578,0.952,2092,2984
1689,fine,4012,0.00271,0.9873,0.9508,6599,6235
1657,fine,4012,0.00271,0.8122,0.9334,13033,6129
1431,fine,4005,0.0027,0.8101,0.9478,7829,4922
2249,fine,4000,0.0027,0.6996,0.957,8799,8183
2446,fine,3999,0.0027,0.6665,0.9244,4698,8739
1390,fine,3979,0.00269,0.7844,0.9589,8483,4792
6,fine,3963,0.00268,0.7729,0.9651,5409,28
2314,fine,3910,0.00264,0.8056,0.9429,227,8414
830,fine,3861,0.00261,0.8045,0.9372,4329,2898
475,fine,3847,0.0026,0.8778,0.9295,3318,1502
2793,fine,3841,0.00259,0.7892,0.9385,6278,9821
2699,fine,3840,0.00259,0.6754,0.9667,6108,9428
2498,fine,3830,0.00259,0.8592,0.9485,1936,8821
2393,fine,3781,0.00255,0.8041,0.9498,16,8674
2900,fine,3778,0.00255,0.8552,0.9687,10286,10413
30,fine,3770,0.00255,0.784,0.9605,2738,91
1478,fine,3770,0.00255,0.8346,0.9543,3925,5122
1112,fine,3713,0.00251,0.8629,0.9552,5680,3722
2281,fine,3712,0.00251,0.8945,0.952,2117,8287
804,fine,3710,0.00251,0.8342,0.9147,5539,2794
174,fine,3685,0.00249,0.7758,0.9533,3100,516
910,fine,3677,0.00248,0.7741,0.9545,657,3093
2138,fine,3672,0.00248,0.8866,0.9289,12438,7754
740,fine,3659,0.00247,0.7162,0.9584,6602,2508
1749,fine,3646,0.00246,0.7892,0.9445,12994,6393
1884,fine,3636,0.00246,0.764,0.9529,12097,6766
2337,fine,3600,0.00243,0.8634,0.9326,6915,8475
928,fine,3599,0.00243,0.6946,0.9589,3314,3141
1408,fine,3597,0.00243,0.7368,0.9433,6181,4857
1043,fine,3563,0.00241,0.955,0.9136,5015,3590
2006,fine,3517,0.00238,0.7315,0.9562,12648,7314
1367,fine,3484,0.00235,0.8625,0.9317,7415,4622
2439,fine,3476,0.00235,0.7186,0.9532,10438,8704
2847,fine,3467,0.00234,0.8567,0.9521,9619,10132
2428,fine,3467,0.00234,0.7014,0.9467,4180,8680
260,fine,3437,0.00232,0.8069,0.9389,6833,828
2046,fine,3436,0.00232,0.9262,0.9564,12255,7477
2373,fine,3417,0.00231,0.7649,0.9315,3043,8557
213,fine,3413,0.00231,0.7665,0.9522,4931,651
1054,fine,3390,0.00229,0.7747,0.9414,3377,3558
2173,fine,3389,0.00229,0.7962,0.9544,4238,7834
1167,fine,3379,0.00228,0.8832,0.9438,7103,3886
1915,fine,3376,0.00228,0.7844,0.9478,3945,6905
2293,fine,3361,0.00227,0.839,0.9549,875,8311
24,fine,3344,0.00226,0.6567,0.9419,3746,61
2421,fine,3341,0.00226,0.8654,0.9527,1954,8678
1032,fine,3336,0.00225,0.7425,0.9496,3675,3517
1456,fine,3333,0.00225,0.6092,0.9544,5819,5047
2375,fine,3323,0.00224,0.6236,0.9354,7617,8548
1594,fine,3315,0.00224,0.7437,0.9376,11735,5749
1422,fine,3310,0.00224,0.6887,0.9396,5054,4911
1798,fine,3302,0.00223,0.6753,0.9177,8999,6513
437,fine,3301,0.00223,0.9531,0.9456,7401,1368
1105,fine,3288,0.00222,0.9648,0.9557,4765,3690
1203,fine,3286,0.00222,0.8121,0.9271,13207,4013
2951,fine,3253,0.0022,0.7849,0.9093,11082,10739
676,fine,3250,0.0022,0.8702,0.9563,5922,2203
1304,fine,3241,0.00219,0.8545,0.9559,5396,4386
2600,fine,3219,0.00217,0.9583,0.9474,12346,9138
1761,fine,3211,0.00217,0.8059,0.9506,11530,6435
1217,fine,3192,0.00216,0.6325,0.9429,10438,4058
923,fine,3176,0.00215,0.8051,0.9587,3532,3119
1874,fine,3171,0.00214,0.6811,0.9448,7444,6730
839,fine,3169,0.00214,0.6898,0.9446,11467,2910
58,fine,3168,0.00214,0.7509,0.9539,12308,153
749,fine,3161,0.00213,0.7797,0.9589,8099,2553
2331,fine,3120,0.00211,0.9771,0.9478,1762,8437
2610,fine,3113,0.0021,0.7764,0.9486,6517,9155
2357,fine,3091,0.00209,0.972,0.9389,5912,8523
954,fine,3086,0.00208,0.8861,0.9577,6878,3228
379,fine,3068,0.00207,0.833,0.9565,5298,1203
2584,fine,3064,0.00207,0.8705,0.9503,221,9116
2449,fine,3057,0.00206,0.8404,0.9454,8380,8736
171,fine,3045,0.00206,0.7775,0.9498,9265,488
745,fine,3037,0.00205,0.7249,0.9412,12954,2526
2639,fine,3035,0.00205,0.8118,0.976,4991,9221
1002,fine,3030,0.00205,0.8182,0.9515,3815,3398
2595,fine,3026,0.00204,0.7075,0.9388,1841,9129
2497,fine,3022,0.00204,0.8268,0.9316,13148,8820
2696,fine,3006,0.00203,0.7088,0.9242,1315,9433
712,fine,2992,0.00202,0.7503,0.9308,4086,2353
887,fine,2980,0.00201,0.7653,0.948,3251,3010
2047,fine,2972,0.00201,0.8301,0.9069,10181,7505
1738,fine,2968,0.002,0.766,0.9455,12411,6377
2790,fine,2965,0.002,0.8426,0.9568,5660,9794
1067,fine,2949,0.00199,0.7929,0.9588,7448,3590
2514,fine,2948,0.00199,0.7773,0.9318,13233,8881
1213,fine,2934,0.00198,0.8421,0.9192,13313,4068
1604,fine,2916,0.00197,0.8636,0.9327,13254,5862
1669,fine,2910,0.00197,0.6579,0.9277,262,6166
2965,fine,2880,0.00195,0.8926,0.9531,11895,10775
1573,fine,2879,0.00194,0.957,0.8937,3760,5621
249,fine,2873,0.00194,0.6711,0.9494,9487,789
2290,fine,2872,0.00194,0.7052,0.944,3340,8300
531,fine,2853,0.00193,0.8741,0.9428,3935,1629
2233,fine,2832,0.00191,0.8726,0.9559,11826,8119
341,fine,2831,0.00191,0.6865,0.9358,9047,1101
656,fine,2827,0.00191,0.7794,0.9417,679,2115
1795,fine,2819,0.0019,0.6706,0.9202,8883,6531
913,fine,2817,0.0019,0.9462,0.9223,2998,3100
2534,fine,2815,0.0019,0.6257,0.9301,3507,8930
81,fine,2792,0.00189,0.6445,0.9254,12587,209
1561,fine,2786,0.00188,0.737,0.9688,1642,5565
2040,fine,2780,0.00188,0.7556,0.9438,10518,7437
377,fine,2769,0.00187,0.8367,0.9554,4317,1202
2795,fine,2755,0.00186,0.7103,0.9439,13435,9845
2755,fine,2752,0.00186,0.7674,0.9324,13617,9610
793,fine,2741,0.00185,0.5793,0.9169,9720,2742
1654,fine,2725,0.00184,0.7526,0.9508,5636,6071
1575,fine,2725,0.00184,0.7896,0.9505,12867,5616
2351,fine,2725,0.00184,0.7929,0.95,10417,8483
1897,fine,2717,0.00184,0.7083,0.9679,7141,6812
1181,fine,2714,0.00183,0.5783,0.9438,1303,3922
467,fine,2710,0.00183,0.8078,0.9334,4167,1478
2049,fine,2704,0.00183,0.7644,0.921,10409,7495
920,fine,2692,0.00182,0.9308,0.9589,543,3129
681,fine,2691,0.00182,0.7271,0.9463,3527,2227
1882,fine,2683,0.00181,0.6051,0.9447,4215,6759
1958,normal,2683,0.00181,0.5753,0.9412,4160,7111
2544,fine,2666,0.0018,0.6956,0.9411,2131,8977
509,fine,2665,0.0018,0.8659,0.9521,3459,1564
1520,fine,2665,0.0018,0.871,0.9724,3548,5357
1129,fine,2659,0.0018,0.7963,0.9384,2505,3790
2397,fine,2653,0.00179,0.7443,0.9434,4260,8623
1921,fine,2638,0.00178,0.7822,0.9346,10560,6947
2627,fine,2624,0.00177,0.7878,0.9348,907,9187
2051,fine,2621,0.00177,0.8938,0.9515,12440,7494
2264,fine,2616,0.00177,0.7635,0.9226,90,8223
2355,fine,2607,0.00176,0.8731,0.9449,8254,8512
97,fine,2599,0.00176,0.9224,0.9485,6242,254
308,fine,2581,0.00174,0.6263,0.9504,1739,990
1891,fine,2579,0.00174,0.682,0.9388,9394,6787
1139,fine,2576,0.00174,0.673,0.9553,838,3796
2305,fine,2570,0.00174,0.7298,0.9013,4571,8350
2316,fine,2567,0.00173,0.8221,0.9426,2433,8378
758,fine,2567,0.00173,0.9857,0.9103,2537,2567
31,fine,2564,0.00173,0.7702,0.9492,5054,94
147,fine,2563,0.00173,0.933,0.9291,6319,418
2390,fine,2549,0.00172,0.7851,0.9056,11362,8630
995,fine,2525,0.00171,0.6448,0.9425,10083,3375
1313,fine,2508,0.00169,0.7319,0.9417,10764,4409
1496,fine,2505,0.00169,0.7455,0.9336,868,5206
292,fine,2502,0.00169,0.8692,0.9345,7710,925
600,fine,2502,0.00169,0.8233,0.9218,8118,1866
507,fine,2499,0.00169,0.7573,0.936,5158,1563
2007,fine,2498,0.00169,0.8786,0.9285,10201,7320
808,fine,2496,0.00169,0.9445,0.9303,2173,2821
65,fine,2496,0.00169,0.6666,0.9354,861,169
328,fine,2489,0.00168,0.849,0.9486,7062,1073
1715,fine,2487,0.00168,0.9851,0.9289,6791,6329
1920,fine,2479,0.00167,0.7097,0.966,14,6974
819,fine,2463,0.00166,0.8975,0.942,6125,2863
1256,fine,2462,0.00166,0.7539,0.9351,1793,4169
2560,fine,2461,0.00166,0.8867,0.9545,13167,9022
1320,fine,2461,0.00166,0.695,0.9395,8071,4439
2005,fine,2457,0.00166,0.8839,0.9599,4666,7309
2303,fine,2454,0.00166,0.7231,0.9527,10405,8337
168,fine,2444,0.00165,0.6633,0.9563,5529,482
2807,fine,2414,0.00163,0.7185,0.9496,12642,9932
1616,fine,2412,0.00163,0.6917,0.9502,11707,5897
1386,fine,2409,0.00163,0.665,0.9496,44,4756
63,fine,2402,0.00162,0.7691,0.9487,1767,166
1356,fine,2388,0.00161,0.8341,0.9381,4571,4572
945,fine,2375,0.0016,0.9097,0.942,5264,3214
1116,fine,2369,0.0016,0.8149,0.9405,5771,3741
2908,normal,2368,0.0016,0.6246,0.9203,7742,10505
2066,fine,2363,0.0016,0.8374,0.9304,11698,7544
1762,fine,2347,0.00159,0.7908,0.9376,3087,6434
596,fine,2346,0.00158,0.9308,0.949,2895,1863
1946,fine,2344,0.00158,0.7666,0.9455,12976,7072
2232,fine,2341,0.00158,0.9528,0.9488,5682,8120
2712,fine,2335,0.00158,0.6675,0.9383,628,9478
2932,fine,2327,0.00157,0.9202,0.9643,9507,10644
301,fine,2322,0.00157,0.7975,0.9347,4939,948
297,fine,2317,0.00156,0.8271,0.938,5627,952
2567,fine,2306,0.00156,0.8385,0.9408,550,9066
1321,fine,2281,0.00154,0.7941,0.9429,12535,4425
1038,fine,2278,0.00154,0.979,0.9545,4604,3532
495,fine,2277,0.00154,0.9461,0.9444,7505,1563
2672,fine,2271,0.00153,0.5234,0.935,3477,9326
2806,fine,2269,0.00153,0.7852,0.944,6095,9918
1236,fine,2259,0.00153,0.7192,0.9413,4027,4125
365,fine,2258,0.00153,0.7217,0.9658,12717,1160
1716,fine,2255,0.00152,0.8067,0.9382,11505,6331
460,fine,2255,0.00152,0.8413,0.9461,4947,1430
1078,fine,2248,0.00152,0.9753,0.958,4398,3632
1807,fine,2247,0.00152,0.8339,0.9265,11528,6543
2706,fine,2225,0.0015,0.8192,0.9559,13517,9441
2871,fine,2222,0.0015,0.6287,0.926,5488,10230
2918,fine,2219,0.0015,0.8978,0.9569,9655,10552
1850,fine,2215,0.0015,0.7777,0.9267,229,6644
486,fine,2213,0.00149,0.9573,0.9201,7585,1519
1088,fine,2210,0.00149,0.9561,0.9438,4953,3654
1179,fine,2204,0.00149,0.8348,0.9469,7683,3910
1183,fine,2201,0.00149,0.9086,0.9384,4468,3947
971,fine,2191,0.00148,0.8363,0.9508,3093,3271
506,fine,2184,0.00148,0.8435,0.9272,3691,1556
